Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,B5B1RP0,Magnitogorsk Iron & Steel Works PJSC,MAGN,0.01%,Steel,RU,---,"$12,074,952.17","24,328,084"
,B2Q7WL3,REC Ltd.,RECLTD,0.01%,Specialized Finance,IN,---,"$12,017,740.77","8,918,813"
,6777007,Sappi Ltd.,SAP,0.01%,Paper Products,ZA,---,"$11,999,176.60","7,583,017"
,B3D6J19,Ecopetrol SA,EC,0.01%,Integrated Oil & Gas,CO,ADR,"$11,985,228.24","1,218,011"
,BN56JP1,Prologis Property Mexico SA de CV,FIBRAPL14,0.01%,Industrial REITs,MX,---,"$11,982,717.06","6,176,127"
,2877149,AU Optronics Corp.,AUOTY,0.01%,Electronic Components,TW,ADR,"$11,971,777.40","3,201,010"
,BYY2W03,Dr Lal PathLabs Ltd.,LALPATHLAB,0.01%,Health Care Services,IN,---,"$11,961,816.62","468,354"
,6054465,Qisda Corp.,2352,0.01%,"Technology Hardware, Storage & Periphera",TW,---,"$11,933,380.30","18,562,620"
,6124142,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,0.01%,Multi-Sector Holdings,IN,---,"$11,932,870.27","361,738"
,2297606,Gerdau SA,GGB,0.01%,Steel,US,ADR,"$11,893,098.70","3,214,351"
,B136WG1,Qassim Cement Co.,3040,0.01%,Construction Materials,SA,---,"$11,880,822.15","599,709"
,BD5CG58,Zhejiang Century Huatong Group Co. Ltd.,002602,0.01%,Interactive Home Entertainment,CN,---,"$11,877,022.08","8,455,700"
,B3FJBY3,Jentech Precision Industrial Co. Ltd.,3653,0.01%,Semiconductors,TW,---,"$11,876,640.87","1,118,570"
,B4PT3T9,Jiangsu Hengli Hydraulic Co. Ltd.,601100,0.01%,Industrial Machinery,CN,---,"$11,866,744.73","1,126,339"
,BYQN3W3,B Grimm Power PCL,BGRIM-F,0.01%,Independent Power Producers & Energy Traders,---,---,"$11,831,883.94","8,837,447"
,BD0FRL5,RBL Bank Ltd.,RBLBANK,0.01%,Diversified Banks,IN,---,"$11,779,581.87","5,085,793"
,BWGW724,Kansai Nerolac Paints Ltd.,KANSAINER,0.01%,Commodity Chemicals,IN,---,"$11,775,703.21","1,734,240"
,6171375,China Eastern Airlines Corp. Ltd.,670,0.01%,Airlines,CN,---,"$11,768,760.58","27,358,558"
,BK8XXW3,Banco Inter SA,BIDI11,0.01%,Diversified Banks,BR,---,"$11,738,645.63","1,214,500"
,B118753,Nan Ya Printed Circuit Board Corp.,8046,0.01%,Electronic Components,TW,---,"$11,734,429.51","2,849,521"
,BXNPSQ4,General Interface Solution Holding Ltd.,6456,0.01%,Electronic Components,TW,---,"$11,725,490.44","2,701,070"
,BP3R2M8,China Yangtze Power Co. Ltd.,600900,0.01%,Renewable Electricity,CN,---,"$11,723,860.96","4,162,028"
,BP3R4P5,Shanghai International Airport Co. Ltd.,600009,0.01%,Airport Services,CN,---,"$11,697,331.72","1,152,067"
,B292SM8,Megacable Holdings SAB de CV,MEGACPO,0.01%,Cable & Satellite,MX,---,"$11,687,192.01","4,061,313"
,BDTYKJ2,San Miguel Food and Beverage Inc.,FB,0.01%,Packaged Foods & Meats,PH,---,"$11,683,920.70","8,882,400"
,6792334,Security Bank Corp.,SECB,0.01%,Diversified Banks,PH,---,"$11,680,135.77","6,106,174"
,BL3W4C9,Locaweb Servicos de Internet SA,LWSA3,0.01%,Internet Services & Infrastructure,BR,---,"$11,661,095.46","1,098,600"
,6186023,Eva Airways Corp.,2618,0.01%,Airlines,TW,---,"$11,660,038.21","31,532,760"
,B284BT3,United Renewable Energy Co. Ltd./Taiwan,3576,0.01%,Semiconductors,TW,---,"$11,660,004.94","28,963,470"
,B4Q1Y57,Chongqing Rural Commercial Bank Co. Ltd.,3618,0.01%,Regional Banks,CN,---,"$11,657,801.63","31,537,539"
,2297628,Empresa Nacional de Telecomunicaciones SA,ENTEL,0.01%,Wireless Telecommunication Services,CL,---,"$11,650,694.77","1,871,226"
,B56XQT8,Energisa SA,ENGI11,0.01%,Electric Utilities,BR,---,"$11,631,770.85","1,588,591"
,B2R9WZ2,GoerTek Inc.,002241,0.01%,Electronic Manufacturing Services,CN,---,"$11,588,809.67","1,938,204"
,B235JN1,MRV Engenharia e Participacoes SA,MRVE3,0.01%,Homebuilding,BR,---,"$11,521,857.07","4,021,479"
,BYNGG26,China Resources Pharmaceutical Group Ltd.,3320,0.01%,Pharmaceuticals,CN,---,"$11,517,712.03","22,335,126"
,B8F6ZF8,Corp Inmobiliaria Vesta SAB de CV,VESTA*,0.01%,Real Estate Operating Companies,MX,---,"$11,514,152.72","7,640,912"
,BD5CPY0,ZTE Corp.,000063,0.01%,Communications Equipment,CN,---,"$11,497,014.34","2,352,274"
,6155915,ACC Ltd.,ACC,0.01%,Construction Materials,IN,---,"$11,488,815.34","606,862"
,B7YZMK3,Bangkok Chain Hospital PCL,BCH-F,0.01%,Health Care Facilities,TH,---,"$11,477,619.58","26,080,945"
,2684349,Parque Arauco SA,PARAUCO,0.01%,Real Estate Operating Companies,CL,---,"$11,475,423.81","8,197,410"
,BD9FS46,Fortress REIT Ltd.,FFA,0.01%,Diversified REITs,ZA,---,"$11,429,321.93","14,646,739"
,BVHFB90,Shenwan Hongyuan Group Co. Ltd.,000166,0.01%,Investment Banking & Brokerage,CN,---,"$11,393,924.39","14,548,981"
,BFTCYP4,Robinsons Retail Holdings Inc.,RRHI,0.01%,Hypermarkets & Super Centers,PH,---,"$11,388,284.42","8,482,201"
,B02ZKQ8,China Power International Development Ltd.,2380,0.01%,Independent Power Producers & Energy Traders,CN,---,"$11,375,724.10","61,443,063"
,2523367,Lojas Americanas SA,LAME3,0.01%,General Merchandise Stores,BR,---,"$11,365,801.46","2,615,951"
,B13BYX7,Humansoft Holding Co. KSC,HUMANSOFT,0.01%,Education Services,KW,---,"$11,340,366.51","1,337,170"
,6648824,Sany Heavy Industry Co. Ltd.,600031,0.01%,Construction Machinery & Heavy Trucks,CN,---,"$11,301,174.80","3,076,413"
,BYY36X7,China Merchants Shekou Industrial Zone Holdings Co. Ltd.,001979,0.01%,Real Estate Development,CN,---,"$11,295,213.43","5,050,130"
,B7J4PX9,Saudi Airlines Catering Co.,6004,0.01%,Restaurants,SA,---,"$11,285,181.85","513,205"
,BF0GKL3,Dixon Technologies India Ltd.,DIXON,0.01%,Consumer Electronics,IN,---,"$11,277,121.05","94,692"
,BP3R6B5,Hundsun Technologies Inc.,600570,0.01%,Application Software,CN,---,"$11,256,818.92","773,451"
,BD5CMM7,Luzhou Laojiao Co. Ltd.,000568,0.01%,Distillers & Vintners,CN,---,"$11,254,393.35","531,500"
,B5MDP39,Noah Holdings Ltd.,NOAH,0.01%,Asset Management & Custody Banks,CN,ADR,"$11,249,648.19","431,517"
,BYWPGC4,China Yuhua Education Corp. Ltd.,6169,0.01%,Education Services,CN,---,"$11,246,573.00","13,103,676"
,B18TLC4,Frontken Corp. Bhd.,FRONTKN,0.01%,Diversified Support Services,MY,---,"$11,212,939.00","12,752,900"
,BZ1MXR7,Alpha Bank AE,ALPHA,0.01%,Diversified Banks,GR,---,"$11,207,709.90","18,535,575"
,B2PWTM9,Ezdan Holding Group QSC,ERES,0.01%,Real Estate Operating Companies,QA,---,"$11,203,913.78","21,207,557"
,B0JJVB5,Rajesh Exports Ltd.,RAJESHEXPO,0.01%,"Apparel, Accessories & Luxury Goods",IN,---,"$11,178,727.46","1,842,041"
,6148119,NMDC Ltd.,NMDC,0.01%,Steel,IN,---,"$11,165,253.68","9,963,556"
,B1Z9Q99,Aboitiz Power Corp.,AP,0.01%,Independent Power Producers & Energy Traders,PH,---,"$11,153,264.42","21,138,029"
,6404242,Hanjaya Mandala Sampoerna Tbk PT,HMSP,0.01%,Tobacco,ID,---,"$11,138,606.89","117,767,574"
,BP3R2G2,Bank of Communications Co. Ltd.,601328,0.01%,Diversified Banks,CN,---,"$11,131,109.19","16,669,079"
,B9DL3B4,Linx SA,LINX3,0.01%,Application Software,BR,---,"$11,114,998.17","1,804,067"
,BQWJP56,Emaar Malls PJSC,EMAARMALLS,0.01%,Real Estate Operating Companies,AE,---,"$11,108,637.33","27,153,043"
,6877811,Taiwan Secom Co. Ltd.,9917,0.01%,Security & Alarm Services,TW,---,"$11,107,536.29","3,811,876"
,B0QMD00,Egypt Kuwait Holding Co. SAE,EKHO,0.01%,Diversified Chemicals,EG,---,"$11,088,872.07","10,369,070"
,BYP9J68,SSY Group Ltd.,2005,0.01%,Pharmaceuticals,CN,---,"$11,078,660.71","19,423,775"
,BLBFH65,Jiumaojiu International Holdings Ltd.,9922,0.01%,Restaurants,CN,---,"$11,073,209.34","4,685,000"
,BF138Q4,Hebei Construction Group Corp. Ltd.,1727,0.01%,Construction & Engineering,CN,---,"$11,065,268.33","5,767,000"
,6518723,China Merchants Bank Co. Ltd.,600036,0.01%,Diversified Banks,CN,---,"$11,050,822.03","2,082,000"
,6156673,Capital Securities Corp.,6005,0.01%,Investment Banking & Brokerage,TW,---,"$11,048,603.06","29,603,773"
,BNGMX23,Deepak Nitrite Ltd.,DEEPAKNTR,0.01%,Commodity Chemicals,IN,---,"$11,047,176.88","989,130"
,B9M3N77,Gemdale Properties & Investment Corp. Ltd.,535,0.01%,Diversified Real Estate Activites,CN,---,"$11,042,356.31","64,774,000"
,B0498T7,Porto Seguro SA,PSSA3,0.01%,Multi-line Insurance,BR,---,"$10,992,303.50","1,279,413"
,BMP3858,Redefine Properties Ltd.,RDF,0.01%,Diversified REITs,ZA,---,"$10,989,729.88","76,493,394"
,6907310,Tung Ho Steel Enterprise Corp.,2006,0.01%,Steel,TW,---,"$10,956,179.63","11,085,660"
,B1S7225,Power Finance Corp. Ltd.,PFC,0.01%,Specialized Finance,IN,---,"$10,872,808.13","9,271,722"
,B24FZ32,Bosideng International Holdings Ltd.,3998,0.01%,"Apparel, Accessories & Luxury Goods",CN,---,"$10,845,969.25","34,763,764"
,6114745,Tata Communications Ltd.,TATACOMM,0.01%,Integrated Telecommunication Services,IN,---,"$10,824,332.29","938,658"
,6988616,YFY Inc.,1907,0.01%,Paper Products,TW,---,"$10,770,947.21","18,052,703"
,6136073,Supreme Industries Ltd.,SUPREMEIND,0.01%,Commodity Chemicals,IN,---,"$10,723,375.76","562,749"
,B66Y3W0,Grupo Aval Acciones y Valores SA,PFAVAL,0.01%,Diversified Banks,CO,---,"$10,713,409.85","45,657,260"
,B77H110,GT Capital Holdings Inc.,GTCAP,0.01%,Industrial Conglomerates,PH,---,"$10,705,498.19","1,337,592"
,BP3R3F8,New China Life Insurance Co. Ltd.,601336,0.01%,Life & Health Insurance,CN,---,"$10,699,784.59","1,168,286"
,6206084,China Petrochemical Development Corp.,1314,0.01%,Commodity Chemicals,TW,---,"$10,692,725.97","36,785,730"
,6425395,Aluminum Corp. of China Ltd.,2600,0.01%,Aluminum,CN,---,"$10,683,113.61","51,798,237"
,BZ8W8S6,La Comer SAB de CV,LACOMERUBC,0.01%,Food Retail,MX,---,"$10,677,501.92","6,751,375"
,BD5CPV7,Shenwan Hongyuan Group Co. Ltd.,000166,0.01%,Investment Banking & Brokerage,CN,---,"$10,671,078.44","13,625,974"
,6436450,Hong Leong Financial Group Bhd.,HLFG,0.01%,Diversified Banks,MY,---,"$10,663,923.33","3,090,041"
,BP3R358,CRRC Corp. Ltd.,601766,0.01%,Construction Machinery & Heavy Trucks,CN,---,"$10,655,561.83","13,168,235"
,BF0XL55,Hope Education Group Co. Ltd.,1765,0.01%,Education Services,CN,---,"$10,652,209.25","34,622,000"
,BMZ1CH2,Laurus Labs Ltd.,LAURUSLABS,0.01%,Pharmaceuticals,IN,---,"$10,650,501.57","2,724,865"
,B1LHCW2,Mindtree Ltd.,MINDTREE,0.01%,IT Consulting & Other Services,IN,---,"$10,635,920.86","585,245"
,BP3R3R0,Sanan Optoelectronics Co. Ltd.,600703,0.01%,Semiconductors,CN,---,"$10,625,190.54","2,937,042"
,6555946,Fraser & Neave Holdings Bhd.,F&N,0.01%,Soft Drinks,MY,---,"$10,622,019.03","1,372,900"
,B614LY3,Cielo SA,CIEL3,0.01%,Data Processing & Outsourced Services,BR,---,"$10,621,813.29","15,178,382"
,6314697,BOE Technology Group Co. Ltd.,000725,0.01%,Electronic Components,CN,---,"$10,620,431.27","14,633,654"
,BD5BP36,Bank of Shanghai Co. Ltd.,601229,0.01%,Diversified Banks,CN,---,"$10,607,801.74","8,858,061"
,B056381,Global Unichip Corp.,3443,0.01%,Semiconductors,TW,---,"$10,606,775.75","1,168,960"
,BD4GT29,Guotai Junan Securities Co. Ltd.,2611,0.01%,Investment Banking & Brokerage,CN,---,"$10,605,500.79","7,598,136"
,2314947,Enel Americas SA,ENIA,0.01%,Electric Utilities,CL,ADR,"$10,591,848.30","1,639,605"
,BP3R240,China Petroleum & Chemical Corp.,600028,0.01%,Integrated Oil & Gas,CN,---,"$10,591,539.83","18,412,819"
,BD5CCK5,Hangzhou Tigermed Consulting Co. Ltd.,300347,0.01%,Life Sciences Tools & Services,CN,---,"$10,579,924.10","697,059"
,6113485,Truworths International Ltd.,TRU,0.01%,Apparel Retail,ZA,---,"$10,558,480.05","5,674,771"
,BJ62LW1,Bancolombia SA,PFBCOLOM,0.01%,Diversified Banks,CO,---,"$10,547,274.34","1,634,187"
,BD5CJX7,Muyuan Foods Co. Ltd.,002714,0.01%,Packaged Foods & Meats,CN,---,"$10,540,644.24","966,405"
,BZ07VX5,Will Semiconductor Ltd.,603501,0.01%,Semiconductors,CN,---,"$10,521,345.92","401,200"
,B07J656,Shanghai Electric Group Co. Ltd.,2727,0.01%,Heavy Electrical Equipment,CN,---,"$10,488,248.87","38,733,315"
,BD5CG36,Walvax Biotechnology Co. Ltd.,300142,0.01%,Biotechnology,CN,---,"$10,464,711.54","1,395,857"
,2311238,Aguas Andinas SA,AGUAS-A,0.01%,Water Utilities,CL,---,"$10,459,577.89","37,324,766"
,BP3R2K6,China Pacific Insurance Group Co. Ltd.,601601,0.01%,Multi-line Insurance,CN,---,"$10,439,572.90","2,266,627"
,BF5DGN3,Thanachart Capital PCL,TCAP-F,0.01%,Diversified Banks,TH,---,"$10,409,844.83","11,310,256"
,B133P41,Saudia Dairy & Foodstuff Co.,2270,0.01%,Packaged Foods & Meats,SA,---,"$10,405,380.10","213,549"
,BDHTRS7,Shenzhen Kangtai Biological Products Co. Ltd.,300601,0.01%,Biotechnology,CN,---,"$10,392,996.36","387,600"
,B05N809,Sistema PJSFC,SSA,0.01%,Wireless Telecommunication Services,RU,GDR,"$10,367,951.21","1,934,593"
,BH4NZS6,Qatar Aluminum Manufacturing Co.,QAMC,0.01%,Aluminum,QA,---,"$10,365,941.94","37,164,095"
,2946663,Grupo Cementos de Chihuahua SAB de CV,GCC*,0.01%,Construction Materials,MX,---,"$10,343,337.87","2,219,807"
,6374947,SRF Ltd.,SRF,0.01%,Textiles,IN,---,"$10,340,997.28","184,176"
,B0VDZN5,Coromandel International Ltd.,COROMANDEL,0.01%,Fertilizers & Agricultural Chemicals,IN,---,"$10,338,354.59","985,923"
,BYYFJV2,Yifeng Pharmacy Chain Co. Ltd.,603939,0.01%,Drug Retail,CN,---,"$10,319,941.34","706,200"
,6328450,Far Eastern International Bank,2845,0.01%,Diversified Banks,TW,---,"$10,317,577.96","29,030,336"
,BF1THH6,Bharat Electronics Ltd.,BEL,0.01%,Aerospace & Defense,IN,---,"$10,307,791.86","7,918,943"
,BZ9NS11,Ganfeng Lithium Co. Ltd.,1772,0.01%,Diversified Metals & Mining,CN,---,"$10,261,274.67","2,080,200"
,BP3R2T5,Huaxia Bank Co. Ltd.,600015,0.01%,Diversified Banks,CN,---,"$10,245,873.93","11,358,262"
,6124960,Pfizer Ltd.,PFIZER,0.01%,Pharmaceuticals,IN,---,"$10,219,394.29","153,611"
,B000C92,Corp Financiera Colombiana SA,CORFICOLCF,0.01%,Multi-Sector Holdings,CO,---,"$10,215,817.93","1,469,772"
,B02FVZ4,Focus Media Information Technology Co. Ltd.,002027,0.01%,Advertising,CN,---,"$10,203,080.60","8,573,431"
,6682598,Wistron NeWeb Corp.,6285,0.01%,Communications Equipment,TW,---,"$10,200,738.21","3,839,787"
,B134K61,Yanbu Cement Co.,3060,0.01%,Construction Materials,SA,---,"$10,096,796.14","1,046,412"
,6491095,Kiatnakin Phatra Bank PCL,KKP-F,0.01%,Diversified Banks,TH,---,"$10,075,686.11","8,539,170"
,B89JCF2,IGB Real Estate Investment Trust,IGBREIT,0.01%,Retail REITs,MY,---,"$10,061,926.89","22,968,770"
,6298177,Eastern Co. SAE,EAST,0.01%,Tobacco,EG,---,"$10,057,883.33","13,152,315"
,BP3R400,Zijin Mining Group Co. Ltd.,601899,0.01%,Gold,CN,---,"$10,056,939.39","11,021,400"
,B6WTLK3,Seera Group Holding,1810,0.01%,"Hotels, Resorts & Cruise Lines",SA,---,"$10,047,613.36","1,972,456"
,B03MYK0,Turk Hava Yollari AO,THYAO,0.01%,Airlines,TR,---,"$10,031,328.88","7,445,298"
,6189657,China Airlines Ltd.,2610,0.01%,Airlines,TW,---,"$10,030,421.65","34,881,146"
,2440972,Cia de Transmissao de Energia Eletrica Paulista,TRPL4,0.01%,Electric Utilities,BR,---,"$10,023,636.68","2,583,375"
,6436126,YTL Corp. Bhd.,YTL,0.01%,Multi-Utilities,MY,---,"$10,015,072.96","61,498,210"
,BDD2531,Warba Bank KSCP,WARBABANK,0.01%,Diversified Banks,KW,---,"$9,998,992.59","12,336,279"
,B4TPSL0,Alchip Technologies Ltd.,3661,0.01%,Semiconductors,TW,---,"$9,997,504.90","585,463"
,2386009,Usinas Siderurgicas de Minas Gerais SA Usiminas,USIM5,0.01%,Steel,BR,---,"$9,983,524.70","5,589,878"
,6984045,Yunnan Baiyao Group Co. Ltd.,000538,0.01%,Pharmaceuticals,CN,---,"$9,968,945.15","663,692"
,B56DTZ5,San Miguel Corp.,SMC,0.01%,Industrial Conglomerates,PH,---,"$9,966,800.19","4,875,770"
,B05BPF7,Sri Trang Agro-Industry PCL,STA-F,0.01%,Tires & Rubber,TH,---,"$9,951,013.61","11,828,161"
,B7JW351,Ace Hardware Indonesia Tbk PT,ACES,0.01%,Home Improvement Retail,ID,---,"$9,912,212.36","92,374,856"
,BF8GMG4,Neoenergia SA,NEOE3,0.01%,Electric Utilities,BR,---,"$9,907,311.01","3,276,706"
,B3B1C73,Genomma Lab Internacional SAB de CV,LABB,0.01%,Pharmaceuticals,MX,---,"$9,907,189.64","10,123,051"
,BFCM956,LexinFintech Holdings Ltd.,LX,0.01%,Consumer Finance,CN,ADR,"$9,905,408.25","1,446,045"
,B4KC973,Banco Davivienda SA,PFDAVVNDA,0.01%,Diversified Banks,CO,---,"$9,903,621.53","1,383,254"
,BKS1189,China SCE Group Holdings Ltd.,1966,0.01%,Real Estate Development,CN,---,"$9,870,661.72","21,910,301"
,BYYTJ69,Saudi Ground Services Co.,4031,0.01%,Airport Services,SA,---,"$9,861,434.14","1,205,702"
,6001096,BOE Technology Group Co. Ltd.,200725,0.01%,Electronic Components,CN,---,"$9,808,354.52","25,164,909"
,6726548,TVS Motor Co. Ltd.,TVSMOTOR,0.01%,Motorcycle Manufacturers,IN,---,"$9,798,562.19","1,542,424"
,B09FGC9,Carlsberg Brewery Malaysia Bhd.,CARLSBG,0.01%,Brewers,MY,---,"$9,772,848.40","1,956,100"
,6079123,Barloworld Ltd.,BAW,0.01%,Trading Companies & Distributors,ZA,---,"$9,768,458.54","2,672,368"
,BZ5ZCC0,HengTen Networks Group Ltd.,136,0.01%,Internet & Direct Marketing Retail,CN,---,"$9,764,892.02","258,759,107"
,6658317,Pentamaster Corp. Bhd.,PENTA,0.01%,Industrial Machinery,MY,---,"$9,749,122.64","8,380,650"
,B60NRB0,Tata Motors Ltd.,TATAMTRDVR,0.01%,Automobile Manufacturers,IN,---,"$9,742,112.27","11,389,422"
,6671477,China Water Affairs Group Ltd.,855,0.01%,Water Utilities,CN,---,"$9,737,981.26","12,362,149"
,BKS8B79,Castrol India Ltd.,CASTROLIND,0.01%,Commodity Chemicals,IN,---,"$9,725,568.87","6,549,746"
,BYNJJY8,COFCO Meat Holdings Ltd.,1610,0.01%,Packaged Foods & Meats,CN,---,"$9,721,737.37","27,934,000"
,BD2BR77,Fusheng Precision Co. Ltd.,6670,0.01%,Leisure Products,TW,---,"$9,705,080.18","1,592,920"
,BD5CN80,Luxshare Precision Industry Co. Ltd.,002475,0.01%,Electronic Components,CN,---,"$9,704,911.75","1,149,286"
,B10SSN9,Jubilant Life Sciences Ltd.,JUBILANT,0.01%,Pharmaceuticals,IN,---,"$9,699,757.73","976,067"
,6037596,New Hope Liuhe Co. Ltd.,000876,0.01%,Agricultural Products,CN,---,"$9,684,532.16","2,373,324"
,6019011,Inner Mongolia Yitai Coal Co. Ltd.,900948,0.01%,Coal & Consumable Fuels,CN,---,"$9,647,631.43","13,995,696"
,BWCGVX9,Granules India Ltd.,GRANULES,0.01%,Pharmaceuticals,IN,---,"$9,632,482.84","1,846,209"
,B03MSR5,Ford Otomotiv Sanayi AS,FROTO,0.01%,Automobile Manufacturers,TR,---,"$9,630,631.37","850,011"
,6563648,Megaworld Corp.,MEG,0.01%,Real Estate Development,PH,---,"$9,629,291.95","156,876,303"
,6873109,TA Chen Stainless Pipe,2027,0.01%,Steel,TW,---,"$9,614,929.61","14,089,873"
,6510536,HTC Corp.,2498,0.01%,"Technology Hardware, Storage & Periphera",TW,---,"$9,597,513.15","9,660,301"
,BP3R3M5,Shanghai Fosun Pharmaceutical Group Co. Ltd.,600196,0.01%,Pharmaceuticals,CN,---,"$9,584,532.25","1,323,699"
,6537557,Lucky Cement Ltd.,LUCK,0.01%,Construction Materials,PK,---,"$9,572,520.74","2,449,806"
,6396770,Chilisin Electronics Corp.,2456,0.01%,Electronic Components,TW,---,"$9,549,132.58","2,770,851"
,BGQL729,Godrej Properties Ltd.,GODREJPROP,0.01%,Real Estate Development,IN,---,"$9,548,883.81","815,403"
,BGSN864,Xinyi Energy Holdings Ltd.,3868,0.01%,Renewable Electricity,CN,---,"$9,539,952.14","18,064,000"
,6802686,Huaxin Cement Co. Ltd.,900933,0.01%,Construction Materials,CN,---,"$9,539,311.39","4,187,334"
,6875677,Tatung Co. Ltd.,2371,0.01%,Consumer Electronics,TW,---,"$9,535,393.60","16,328,520"
,6492816,Run Long Construction Co. Ltd.,1808,0.01%,Construction & Engineering,TW,---,"$9,528,887.76","4,459,200"
,BDZ7KN9,KCE Electronics PCL,KCE-F,0.01%,Electronic Components,TH,---,"$9,519,525.87","9,901,814"
,B23DL40,Air Arabia PJSC,AIRARABIA,0.01%,Airlines,AE,---,"$9,508,455.82","31,116,029"
,B1P13B6,Industrial Bank Co. Ltd.,601166,0.01%,Diversified Banks,CN,---,"$9,496,756.83","3,996,701"
,BYXXQB6,Syngene International Ltd.,SYNGENE,0.01%,Life Sciences Tools & Services,IN,---,"$9,478,169.92","1,260,002"
,B59GZJ7,Xinjiang Goldwind Science & Technology Co. Ltd.,2208,0.01%,Heavy Electrical Equipment,CN,---,"$9,468,411.74","10,761,490"
,B98CG57,Indiabulls Housing Finance Ltd.,IBULHSGFIN,0.01%,Thrifts & Mortgage Finance,IN,---,"$9,462,233.24","4,399,605"
,B407NK9,Hana Microelectronics PCL,HANA-F,0.01%,Electronic Manufacturing Services,TH,---,"$9,454,673.19","6,852,383"
,6113429,VS Industry Bhd.,VS,0.01%,Electronic Manufacturing Services,MY,---,"$9,450,570.55","17,193,450"
,BGS92Z9,Gujarat Gas Ltd.,GUJGASLTD,0.01%,Gas Utilities,IN,---,"$9,442,526.96","2,252,224"
,BK5XJM8,Cencosud Shopping SA,CENCOSHOPP,0.01%,Real Estate Operating Companies,CL,---,"$9,439,797.02","6,587,426"
,6381828,HannStar Display Corp.,6116,0.01%,Electronic Manufacturing Services,TW,---,"$9,438,933.70","31,916,193"
,6336248,TXC Corp.,3042,0.01%,Electronic Components,TW,---,"$9,434,350.46","3,760,630"
,BZ1MVY0,Resilient REIT Ltd.,RES,0.01%,Retail REITs,ZA,---,"$9,434,338.93","4,296,292"
,6870865,Taiwan Glass Industry Corp.,1802,0.01%,Building Products,TW,---,"$9,422,930.49","22,376,290"
,6268363,Citic Pacific Special Steel Group Co. Ltd.,000708,0.01%,Steel,CN,---,"$9,421,873.95","3,871,454"
,BK947Q7,Shanghai Lingang Holdings Corp. Ltd.,600848,0.01%,Real Estate Development,CN,---,"$9,420,055.13","2,863,622"
,6275459,Huaku Development Co. Ltd.,2548,0.01%,Real Estate Development,TW,---,"$9,415,677.07","3,149,200"
,BD5CF28,Suzhou Dongshan Precision Manufacturing Co. Ltd.,002384,0.01%,Electronic Components,CN,---,"$9,413,080.00","2,399,500"
,B1343N9,Yamama Cement Co.,3020,0.01%,Construction Materials,SA,---,"$9,398,170.47","1,352,292"
,B59RSV3,Federal Grid Co. Unified Energy System PJSC,FEES,0.01%,Electric Utilities,RU,---,"$9,397,914.11","3,703,264,717"
,6988597,Yulon Motor Co. Ltd.,2201,0.01%,Automobile Manufacturers,TW,---,"$9,392,221.97","11,753,544"
,6246251,Hota Industrial Manufacturing Co. Ltd.,1536,0.01%,Auto Parts & Equipment,TW,---,"$9,381,794.21","2,839,962"
,BD5CQ03,Weichai Power Co. Ltd.,000338,0.01%,Construction Machinery & Heavy Trucks,CN,---,"$9,356,980.13","4,204,300"
,BLRBRR8,Shoucheng Holdings Ltd.,697,0.01%,Diversified Real Estate Activites,CN,---,"$9,354,872.39","30,279,211"
,6782045,COSCO SHIPPING Energy Transportation Co. Ltd.,1138,0.01%,Oil & Gas Storage & Transportation,CN,---,"$9,338,409.16","22,388,261"
,B3KFW76,Tisco Financial Group PCL,TISCO-F,0.01%,Diversified Banks,TH,---,"$9,314,818.56","4,618,368"
,6196077,Lao Feng Xiang Co. Ltd.,900905,0.01%,"Apparel, Accessories & Luxury Goods",CN,---,"$9,303,820.56","3,127,520"
,BJ3KJC4,Foshan Haitian Flavouring & Food Co. Ltd.,603288,0.01%,Packaged Foods & Meats,CN,---,"$9,297,056.68","389,059"
,B1YWK08,Total Access Communication PCL,DTAC-R,0.01%,Wireless Telecommunication Services,TH,---,"$9,286,892.85","9,083,845"
,B156TT1,Saudi Research & Marketing Group,4210,0.01%,Publishing,SA,---,"$9,283,228.49","441,532"
,B04S935,Advanced Ceramic X Corp.,3152,0.01%,Communications Equipment,TW,---,"$9,276,365.93","683,105"
,B759P50,LONGi Green Energy Technology Co. Ltd.,601012,0.01%,Semiconductors,CN,---,"$9,274,609.07","838,292"
,B6Z1L73,Tata Power Co. Ltd.,TATAPOWER,0.01%,Electric Utilities,IN,---,"$9,272,332.93","12,788,120"
,BJBL0L5,Viva Biotech Holdings,1873,0.01%,Life Sciences Tools & Services,CN,---,"$9,254,119.35","8,031,500"
,7268298,Public Power Corp. SA,PPC,0.01%,Electric Utilities,GR,---,"$9,243,615.45","1,545,760"
,6139726,Hindustan Zinc Ltd.,HINDZINC,0.01%,Diversified Metals & Mining,IN,---,"$9,232,550.53","3,236,547"
,BV9DDK7,Frasers Property Thailand Industrial Freehold & Leasehold REIT,FTREIT-F,0.01%,Industrial REITs,TH,---,"$9,232,047.67","20,399,269"
,BG087C6,National Bank of Greece SA,ETE,0.01%,Diversified Banks,GR,---,"$9,224,190.88","7,361,049"
,BYYMZ37,Mitra Keluarga Karyasehat Tbk PT,MIKA,0.01%,Health Care Facilities,ID,---,"$9,141,377.32","55,480,900"
