Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,6624471,First Abu Dhabi Bank PJSC,FAB,0.20%,Diversified Banks,AE,---,"$175,289,896.99","56,806,298"
,BSHYYN1,National Commercial Bank,1180,0.20%,Diversified Banks,SA,---,"$174,102,388.64","17,526,718"
,BPFJHC7,Axis Bank Ltd.,AXISBANK,0.20%,Diversified Banks,IN,---,"$173,010,154.42","29,894,411"
,6348544,Formosa Plastics Corp.,1301,0.19%,Commodity Chemicals,TW,---,"$170,713,445.90","62,484,057"
,6536651,BYD Co. Ltd.,1211,0.19%,Automobile Manufacturers,CN,---,"$170,561,539.92","10,576,656"
,B037HR3,Itau Unibanco Holding SA,ITUB4,0.19%,Diversified Banks,BR,---,"$167,208,357.97","41,734,463"
,B1YVKN8,ANTA Sports Products Ltd.,2020,0.19%,Footwear,CN,---,"$164,079,393.51","15,721,805"
,B01B1L9,China Mengniu Dairy Co. Ltd.,2319,0.19%,Packaged Foods & Meats,CN,---,"$162,661,691.09","34,486,000"
,6294896,HCL Technologies Ltd.,HCLTECH,0.19%,IT Consulting & Other Services,IN,---,"$162,460,647.79","14,735,516"
,6193766,China Resources Land Ltd.,1109,0.18%,Real Estate Development,CN,---,"$159,434,228.26","34,957,325"
,BW1YVH8,Wal-Mart de Mexico SAB de CV,WALMEX*,0.18%,Hypermarkets & Super Centers,MX,---,"$158,322,363.38","65,989,537"
,B0MP1B0,Shenzhou International Group Holdings Ltd.,2313,0.18%,"Apparel, Accessories & Luxury Goods",CN,---,"$157,979,283.90","9,277,133"
,6451668,Largan Precision Co. Ltd.,3008,0.18%,Electronic Components,TW,---,"$156,935,682.38","1,340,076"
,BYYDFN0,ZTO Express Cayman Inc.,ZTO,0.18%,Air Freight & Logistics,CN,ADR,"$154,299,743.84","5,157,077"
,6621580,Nan Ya Plastics Corp.,1303,0.17%,Commodity Chemicals,TW,---,"$150,658,269.09","72,883,819"
,B012W42,Public Bank Bhd.,PBBANK,0.17%,Diversified Banks,MY,---,"$150,498,750.82","39,791,718"
,6633712,Maruti Suzuki India Ltd.,MARUTI,0.17%,Automobile Manufacturers,IN,---,"$150,323,170.92","1,639,718"
,6527666,CTBC Financial Holding Co. Ltd.,2891,0.17%,Diversified Banks,TW,---,"$149,191,986.49","233,513,062"
,B00FM53,Banco Bradesco SA,BBDC4,0.16%,Diversified Banks,BR,---,"$144,542,581.14","41,820,540"
,B60LZR6,Agricultural Bank of China Ltd.,1288,0.16%,Diversified Banks,CN,---,"$142,625,017.11","454,574,343"
,6565655,AngloGold Ashanti Ltd.,ANG,0.16%,Gold,ZA,---,"$141,895,060.16","5,424,189"
,6425663,Cathay Financial Holding Co. Ltd.,2882,0.16%,Life & Health Insurance,TW,---,"$141,655,159.16","105,812,826"
,6606996,FirstRand Ltd.,FSR,0.16%,Other Diversified Financial Services,ZA,---,"$141,624,542.63","57,714,665"
,6709099,Bank Rakyat Indonesia Persero Tbk PT,BBRI,0.16%,Diversified Banks,ID,---,"$140,760,260.59","686,118,858"
,6531827,Geely Automobile Holdings Ltd.,175,0.16%,Automobile Manufacturers,CN,---,"$139,082,970.37","69,332,743"
,B00XSF9,Sino Biopharmaceutical Ltd.,1177,0.16%,Pharmaceuticals,CN,---,"$138,909,999.41","126,853,444"
,6433912,E.Sun Financial Holding Co. Ltd.,2884,0.16%,Diversified Banks,TW,---,"$138,247,481.99","155,231,931"
,6280215,Gold Fields Ltd.,GFI,0.16%,Gold,ZA,---,"$138,184,872.62","11,295,514"
,6291819,China Petroleum & Chemical Corp.,386,0.16%,Integrated Oil & Gas,CN,---,"$138,122,238.63","342,082,822"
,BRXVS60,Alibaba Health Information Technology Ltd.,241,0.16%,Health Care Technology,CN,---,"$137,764,578.27","56,023,112"
,6444066,Mega Financial Holding Co. Ltd.,2886,0.16%,Diversified Banks,TW,---,"$137,343,595.80","142,301,503"
,B4975P9,Magazine Luiza SA,MGLU3,0.16%,General Merchandise Stores,BR,---,"$137,123,950.43","8,633,121"
,B08YDF9,CP ALL PCL,CPALL-F,0.16%,Food Retail,TH,---,"$136,433,258.25","71,569,621"
,6411673,Fubon Financial Holding Co. Ltd.,2881,0.16%,Life & Health Insurance,TW,---,"$136,013,132.42","93,472,474"
,6191997,CSPC Pharmaceutical Group Ltd.,1093,0.15%,Pharmaceuticals,CN,---,"$132,892,408.59","68,078,456"
,B05L892,Top Glove Corp. Bhd.,TOPGLOV,0.15%,Health Care Supplies,MY,---,"$132,427,439.57","66,048,290"
,B1YBT08,Sunny Optical Technology Group Co. Ltd.,2382,0.15%,Electronic Components,CN,---,"$131,970,010.79","8,496,475"
,6700393,Uni-President Enterprises Corp.,1216,0.15%,Packaged Foods & Meats,TW,---,"$131,937,845.14","60,919,868"
,6442327,Bharti Airtel Ltd.,BHARTIARTL,0.15%,Wireless Telecommunication Services,IN,---,"$131,328,500.17","22,969,402"
,BDFBM13,Semiconductor Manufacturing International Corp.,981,0.15%,Semiconductors,CN,---,"$131,168,593.68","56,027,500"
,2421041,Grupo Financiero Banorte SAB de CV,GFNORTEO,0.15%,Diversified Banks,MX,---,"$129,449,554.97","37,357,398"
,2242059,Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.15%,Soft Drinks,MX,---,"$128,559,497.96","22,814,152"
,6556325,Malayan Banking Bhd.,MAYBANK,0.15%,Diversified Banks,MY,---,"$128,446,649.09","73,836,612"
,B4XRPN3,Sunac China Holdings Ltd.,1918,0.14%,Real Estate Development,CN,---,"$127,044,635.25","32,246,526"
,6972459,China Resources Beer Holdings Co. Ltd.,291,0.14%,Brewers,CN,---,"$125,092,566.54","20,367,124"
,BG7ZWY7,Ambev SA,ABEV3,0.14%,Brewers,BR,---,"$124,934,529.06","55,950,544"
,6192150,China Overseas Land & Investment Ltd.,688,0.14%,Real Estate Development,CN,---,"$124,172,806.70","49,158,341"
,6904612,Tenaga Nasional Bhd.,TENAGA,0.14%,Electric Utilities,MY,---,"$124,159,282.01","49,066,451"
,B56KLY9,Longfor Group Holdings Ltd.,960,0.14%,Real Estate Development,CN,---,"$123,999,285.88","21,884,101"
,BGR6KX5,Innovent Biologics Inc.,1801,0.14%,Biotechnology,CN,---,"$122,829,852.82","16,471,320"
,BCRWL65,Asian Paints Ltd.,ASIANPAINT,0.14%,Specialty Chemicals,IN,---,"$121,661,510.01","4,515,259"
,B59HPK1,Novatek PJSC,NVTK,0.14%,Oil & Gas Exploration & Production,RU,---,"$121,532,023.50","8,894,452"
,BP3R284,Ping An Insurance Group Co. of China Ltd.,601318,0.14%,Life & Health Insurance,CN,---,"$120,010,046.71","10,672,707"
,2684532,Petroleo Brasileiro SA,PETR4,0.14%,Integrated Oil & Gas,BR,---,"$119,604,717.40","34,252,327"
,6080396,Anhui Conch Cement Co. Ltd.,914,0.13%,Construction Materials,CN,---,"$117,318,428.74","16,938,135"
,6609906,Siam Cement PCL,SCC-F,0.13%,Construction Materials,TH,---,"$115,631,338.30","11,352,884"
,BDFLHY1,Airports of Thailand PCL,AOT-F,0.13%,Airport Services,TH,---,"$115,573,021.37","64,503,844"
,BD2N0P2,Bajaj Finance Ltd.,BAJFINANCE,0.13%,Consumer Finance,IN,---,"$115,336,783.01","2,574,369"
,B1VKYN6,Country Garden Holdings Co. Ltd.,2007,0.13%,Real Estate Development,CN,---,"$114,827,429.46","92,735,469"
,B2Q5H56,China Pacific Insurance Group Co. Ltd.,2601,0.13%,Multi-line Insurance,CN,---,"$113,119,086.26","39,607,392"
,2945422,WEG SA,WEGE3,0.13%,Electrical Components & Equipment,BR,---,"$112,847,597.05","9,645,979"
,6190950,China Steel Corp.,2002,0.13%,Steel,TW,---,"$111,477,216.91","157,397,308"
,BDQZP48,Country Garden Services Holdings Co. Ltd.,6098,0.13%,Environmental & Facilities Services,CN,---,"$110,200,460.75","16,968,331"
,B068DB9,SM Investments Corp.,SM,0.12%,Industrial Conglomerates,PH,---,"$109,528,639.52","6,005,762"
,6503138,Kuwait Finance House KSCP,KFH,0.12%,Diversified Banks,KW,---,"$109,160,212.01","50,504,953"
,B01JCK9,Li Ning Co. Ltd.,2331,0.12%,"Apparel, Accessories & Luxury Goods",CN,---,"$109,033,452.61","23,172,480"
,6287841,Chunghwa Telecom Co. Ltd.,2412,0.12%,Integrated Telecommunication Services,TW,---,"$108,704,571.38","29,413,663"
,6333937,ENN Energy Holdings Ltd.,2688,0.12%,Gas Utilities,CN,---,"$107,535,184.87","9,799,755"
,6322173,Emirates Telecommunications Group Co. PJSC,ETISALAT,0.12%,Integrated Telecommunication Services,AE,---,"$107,321,286.88","23,613,738"
,BFZ2PK0,China Tower Corp. Ltd.,788,0.12%,Integrated Telecommunication Services,CN,---,"$104,344,699.86","599,754,936"
,2643674,Grupo Mexico SAB de CV,GMEXICOB,0.12%,Diversified Metals & Mining,MX,---,"$102,671,400.35","40,359,443"
,BH7HM06,China Conch Venture Holdings Ltd.,586,0.12%,Construction & Engineering,CN,---,"$102,622,960.51","22,059,518"
,BD4T6W7,Telekomunikasi Indonesia Persero Tbk PT,TLKM,0.12%,Integrated Telecommunication Services,ID,---,"$102,001,676.23","590,752,952"
,6348715,Formosa Chemicals & Fibre Corp.,1326,0.12%,Commodity Chemicals,TW,---,"$101,638,620.69","43,163,449"
,6582483,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,0.11%,Pharmaceuticals,IN,---,"$100,608,254.86","14,795,043"
,B030GJ7,Standard Bank Group Ltd.,SBK,0.11%,Diversified Banks,ZA,---,"$100,553,365.99","15,655,775"
,BD9GZX7,Yihai International Holding Ltd.,1579,0.11%,Packaged Foods & Meats,CN,---,"$99,859,709.02","6,357,648"
,BSZ2BY7,ICICI Bank Ltd.,ICICIBANK,0.11%,Diversified Banks,IN,---,"$99,584,505.87","20,595,529"
,6869937,Taiwan Cement Corp.,1101,0.11%,Construction Materials,TW,---,"$98,845,991.94","68,702,753"
,6580119,First Financial Holding Co. Ltd.,2892,0.11%,Diversified Banks,TW,---,"$97,997,215.83","137,322,627"
,6424110,Yuanta Financial Holding Co. Ltd.,2885,0.11%,Other Diversified Financial Services,TW,---,"$97,638,198.99","157,701,210"
,6417165,Hotai Motor Co. Ltd.,2207,0.11%,Automotive Retail,TW,---,"$96,924,809.78","4,330,154"
,6460794,China Gas Holdings Ltd.,384,0.11%,Gas Utilities,CN,---,"$96,281,349.19","33,644,811"
,B12LZX5,Samba Financial Group,1090,0.11%,Diversified Banks,SA,---,"$95,740,368.56","13,310,815"
,BL0L913,Sibanye Stillwater Ltd.,SSW,0.11%,Gold,ZA,---,"$95,581,024.28","34,438,846"
,7320154,OTP Bank Nyrt,OTP,0.11%,Diversified Banks,HU,---,"$94,193,816.75","3,129,493"
,B28PFX8,Emirates NBD Bank PJSC,EMIRATESNBD,0.11%,Diversified Banks,AE,---,"$94,116,313.59","32,222,646"
,BD6FLL7,GDS Holdings Ltd.,GDS,0.11%,Internet Services & Infrastructure,CN,ADR,"$93,861,955.88","1,147,036"
,B0JGGP5,ITC Ltd.,ITC,0.11%,Tobacco,IN,---,"$93,582,462.50","40,058,070"
