age,male,female,age2,year
18세,367250,327633,18,2010
17세,373966,328714,17,2010
16세,370304,323846,16,2010
15세,366782,320651,15,2010
14세,361466,321550,14,2010
13세,346688,315392,13,2010
12세,333112,307142,12,2010
11세,320534,289936,11,2010
10세,320948,292941,10,2010
9세,309280,283382,9,2010
8세,266912,244404,8,2010
7세,248207,228193,7,2010
6세,246949,228143,6,2010
5세,229220,213237,5,2010
4세,224984,209398,4,2010
3세,235138,220438,3,2010
2세,249449,234528,2,2010
1세,232721,218632,1,2010
0세,230536,215979,0,2010
100세 이상,299,2041,100,2011
99세,192,1049,99,2011
98세,285,1482,98,2011
97세,463,2325,97,2011
96세,816,3824,96,2011
95세,1161,5369,95,2011
94세,1800,7573,94,2011
93세,2560,9327,93,2011
92세,3528,11482,92,2011
91세,5000,15753,91,2011
90세,6946,22077,90,2011
89세,9534,27801,89,2011
88세,12706,36913,88,2011
87세,15122,37666,87,2011
86세,17873,44003,86,2011
85세,21218,52496,85,2011
84세,26142,62437,84,2011
83세,31559,72535,83,2011
82세,38616,85101,82,2011
81세,43160,92424,81,2011
80세,49652,98189,80,2011
79세,61484,114189,79,2011
78세,71739,122240,78,2011
77세,83253,134330,77,2011
76세,97258,150142,76,2011
75세,108332,158359,75,2011
74세,118979,165292,74,2011
73세,127440,170032,73,2011
72세,140661,184069,72,2011
71세,146632,185560,71,2011
70세,156049,192304,70,2011
69세,182179,218189,69,2011
68세,184121,213740,68,2011
67세,163017,189398,67,2011
66세,172046,189873,66,2011
65세,162565,171208,65,2011
64세,216226,231964,64,2011
63세,226370,237008,63,2011
62세,228458,237829,62,2011
61세,236132,244874,61,2011
60세,219652,224447,60,2011
59세,265868,273905,59,2011
58세,270545,276239,58,2011
57세,285729,288748,57,2011
56세,348240,356054,56,2011
55세,348755,351172,55,2011
54세,367674,365342,54,2011
53세,395817,388129,53,2011
52세,414071,412561,52,2011
51세,443652,448486,51,2011
50세,464336,463840,50,2011
49세,423891,413863,49,2011
48세,453009,435261,48,2011
47세,403055,386830,47,2011
46세,426871,413985,46,2011
45세,426801,407524,45,2011
44세,420138,403947,44,2011
43세,427402,418799,43,2011
42세,466357,455253,42,2011
41세,454463,438570,41,2011
40세,472510,451582,40,2011
39세,462452,436227,39,2011
38세,456576,433653,38,2011
37세,446728,424648,37,2011
36세,417917,392741,36,2011
35세,397415,372970,35,2011
34세,388586,361257,34,2011
33세,390263,367426,33,2011
32세,399383,375314,32,2011
31세,431862,405123,31,2011
30세,439387,408826,30,2011
29세,436769,405713,29,2011
28세,408697,378119,28,2011
27세,376406,343903,27,2011
26세,346894,316043,26,2011
25세,340731,311527,25,2011
24세,328174,302759,24,2011
23세,325512,296613,23,2011
22세,334400,293954,22,2011
21세,343410,297712,21,2011
20세,346726,306413,20,2011
19세,370344,330127,19,2011
18세,375416,330224,18,2011
17세,370377,324095,17,2011
16세,365945,319821,16,2011
15세,360855,321332,15,2011
14세,346134,315362,14,2011
13세,333652,307637,13,2011
12세,320574,290246,12,2011
11세,320921,293079,11,2011
10세,308878,283008,10,2011
9세,266584,244302,9,2011
8세,247832,227970,8,2011
7세,246567,227897,7,2011
6세,228825,212809,6,2011
5세,224610,209000,5,2011
4세,234627,219909,4,2011
3세,249085,234290,3,2011
2세,232382,218361,2,2011
1세,229086,215039,1,2011
0세,248476,234318,0,2011
100세 이상,329,2182,100,2012
99세,191,1068,99,2012
98세,334,1728,98,2012
97세,573,2884,97,2012
96세,833,4077,96,2012
95세,1337,5895,95,2012
94세,1925,7493,94,2012
93세,2795,9421,93,2012
92세,4004,13177,92,2012
91세,5583,18653,91,2012
90세,7850,24143,90,2012
89세,10838,32989,89,2012
88세,12641,32945,88,2012
87세,15194,39328,87,2012
86세,18227,47764,86,2012
85세,22949,57593,85,2012
84세,28175,67898,84,2012
83세,34979,80153,83,2012
82세,39244,87802,82,2012
81세,45339,93665,81,2012
80세,56933,109456,80,2012
79세,66899,118103,79,2012
78세,78161,130363,78,2012
77세,92333,146623,77,2012
76세,103353,155158,76,2012
75세,114171,162235,75,2012
74세,122615,167337,74,2012
73세,136363,181897,73,2012
72세,142711,183962,72,2012
71세,151977,190219,71,2012
70세,179619,217352,70,2012
69세,182284,213981,69,2012
68세,159950,188558,68,2012
67세,169411,189603,67,2012
66세,157672,167918,66,2012
65세,213924,231390,65,2012
64세,223623,236047,64,2012
63세,225507,236687,63,2012
62세,234428,244682,62,2012
61세,216316,223062,61,2012
60세,264215,273237,60,2012
59세,268266,275600,59,2012
58세,282411,287380,58,2012
57세,346914,356004,57,2012
56세,346009,349565,56,2012
55세,365145,364631,55,2012
54세,393604,387062,54,2012
53세,411553,410988,53,2012
52세,443165,449520,52,2012
51세,465834,466893,51,2012
50세,421857,412543,50,2012
49세,453507,435545,49,2012
48세,399716,384916,48,2012
47세,426487,415440,47,2012
46세,426058,408225,46,2012
45세,418763,404729,45,2012
44세,426045,420192,44,2012
43세,467241,458013,43,2012
42세,453434,438641,42,2012
41세,471818,452286,41,2012
40세,460757,435562,40,2012
39세,455420,434251,39,2012
38세,445740,425225,38,2012
37세,416031,392516,37,2012
36세,395836,373326,36,2012
35세,388025,361323,35,2012
34세,389513,367804,34,2012
33세,397943,374855,33,2012
32세,431741,406089,32,2012
31세,439201,408638,31,2012
30세,436587,406317,30,2012
29세,408592,378739,29,2012
28세,376378,344375,28,2012
27세,347833,316031,27,2012
26세,344797,312632,26,2012
25세,331275,304212,25,2012
24세,327076,299218,24,2012
23세,335914,298742,23,2012
22세,345888,300449,22,2012
21세,350493,305876,21,2012
20세,375318,329975,20,2012
19세,378115,332174,19,2012
18세,371330,325514,18,2012
17세,366070,319920,17,2012
16세,360567,321237,16,2012
15세,345403,315246,15,2012
14세,333756,307883,14,2012
13세,320239,290350,13,2012
12세,321406,293607,12,2012
11세,308737,282979,11,2012
10세,266340,244062,10,2012
9세,247646,227841,9,2012
8세,246238,227712,8,2012
7세,228500,212527,7,2012
6세,224287,208648,6,2012
5세,234127,219425,5,2012
4세,248647,233959,4,2012
3세,231999,218174,3,2012
2세,228725,214806,2,2012
1세,247264,233366,1,2012
0세,243994,229987,0,2012
100세 이상,354,2264,100,2013
99세,228,1238,99,2013
98세,398,2129,98,2013
97세,580,3002,97,2013
96세,985,4451,96,2013
95세,1441,5869,95,2013
94세,2179,7676,94,2013
93세,3188,10963,93,2013
92세,4426,15472,92,2013
91세,6434,20764,91,2013
90세,9188,29336,90,2013
89세,10390,28267,89,2013
88세,12652,34735,88,2013
87세,15415,43002,87,2013
86세,20011,52769,86,2013
85세,24965,63051,85,2013
84세,31513,75129,84,2013
83세,35360,83028,83,2013
82세,41048,88902,82,2013
81세,52403,104438,81,2013
80세,61916,113669,80,2013
79세,73149,126099,79,2013
78세,87116,142629,78,2013
77세,98215,151572,77,2013
76세,109105,158894,76,2013
75세,117566,164129,75,2013
74세,132021,179406,74,2013
73세,138560,182004,73,2013
72세,147854,187881,72,2013
71세,176756,216147,71,2013
70세,180017,213803,70,2013
69세,156626,187474,69,2013
68세,166686,189118,68,2013
67세,152473,164469,67,2013
66세,211398,230616,66,2013
65세,220889,234759,65,2013
64세,222344,235138,64,2013
63세,232509,244143,63,2013
62세,212867,221444,62,2013
61세,262356,272352,61,2013
60세,265674,274725,60,2013
59세,278519,285408,59,2013
58세,345060,355421,58,2013
57세,342832,347466,57,2013
56세,362638,363540,56,2013
55세,390901,385525,55,2013
54세,408424,408945,54,2013
53세,441915,449905,53,2013
52세,466913,469468,52,2013
51세,419495,410868,51,2013
50세,453351,435381,50,2013
49세,395980,382711,49,2013
48세,426067,416668,48,2013
47세,425430,408910,47,2013
46세,417765,405709,46,2013
45세,424646,421427,45,2013
44세,468377,461020,44,2013
43세,452506,438830,43,2013
42세,471403,452951,42,2013
41세,458989,435038,41,2013
40세,454050,434811,40,2013
39세,444786,425807,39,2013
38세,414055,392272,38,2013
37세,394343,373506,37,2013
36세,386998,361213,36,2013
35세,388681,368055,35,2013
34세,396227,374307,34,2013
33세,431551,406596,33,2013
32세,438650,408319,32,2013
31세,436332,406895,31,2013
30세,408282,379096,30,2013
29세,376063,344545,29,2013
28세,348217,316447,28,2013
27세,347424,314414,27,2013
26세,334361,305482,26,2013
25세,328655,299647,25,2013
24세,336949,301668,24,2013
23세,346418,304804,23,2013
22세,350559,307987,22,2013
21세,378434,330220,21,2013
20세,382141,331726,20,2013
19세,373307,326900,19,2013
18세,366975,321079,18,2013
17세,361033,321912,17,2013
16세,344785,315358,16,2013
15세,333669,308032,15,2013
14세,319625,290245,14,2013
13세,321775,293956,13,2013
12세,309058,283248,12,2013
11세,266129,243931,11,2013
10세,247426,227695,10,2013
9세,245815,227373,9,2013
8세,228131,212179,8,2013
7세,223935,208311,7,2013
6세,233572,218912,6,2013
5세,248140,233454,5,2013
4세,231544,217795,4,2013
3세,228552,214567,3,2013
2세,246866,233235,2,2013
1세,242964,229041,1,2013
0세,238376,226387,0,2013
100세 이상,398,2438,100,2014
99세,242,1408,99,2014
98세,404,2145,98,2014
97세,710,3331,97,2014
96세,1056,4548,96,2014
95세,1696,6105,95,2014
94세,2496,8907,94,2014
93세,3485,12563,93,2014
92세,5257,17665,92,2014
91세,7759,26056,91,2014
90세,8417,23788,90,2014
89세,10426,30277,89,2014
88세,12869,38306,88,2014
87세,17203,48053,87,2014
86세,21780,58395,86,2014
85세,28112,69934,85,2014
84세,31510,78090,84,2014
83세,36863,83954,83,2014
82세,47818,99257,82,2014
81세,56966,109087,81,2014
80세,67979,121494,80,2014
79세,81860,138650,79,2014
78세,93050,147915,78,2014
77세,104075,155319,77,2014
76세,112345,160924,76,2014
75세,127510,176750,75,2014
74세,134491,179964,74,2014
73세,143596,185504,73,2014
72세,173917,215108,72,2014
71세,177824,213652,71,2014
70세,153225,186471,70,2014
69세,163939,188722,69,2014
68세,147566,161107,68,2014
67세,209045,229929,67,2014
66세,218081,233771,66,2014
65세,219603,233966,65,2014
64세,231235,244246,64,2014
63세,210313,220664,63,2014
62세,261613,272320,62,2014
61세,264506,275034,61,2014
60세,276293,284997,60,2014
59세,343850,355240,59,2014
58세,340271,345867,58,2014
57세,360688,362730,57,2014
56세,389981,385405,56,2014
55세,406792,408192,55,2014
54세,442811,452010,54,2014
53세,469556,473108,53,2014
52세,418422,410161,52,2014
51세,455603,436830,51,2014
50세,394429,381855,50,2014
49세,427563,419248,49,2014
48세,426362,410751,48,2014
47세,418250,407343,47,2014
46세,425265,423756,46,2014
45세,471685,464863,45,2014
44세,453598,440102,44,2014
43세,473230,454619,43,2014
42세,459606,435368,42,2014
41세,454505,436273,41,2014
40세,445407,426920,40,2014
39세,413695,392739,39,2014
38세,394554,374214,38,2014
37세,388176,361678,37,2014
36세,389687,368743,36,2014
35세,396752,374148,35,2014
34세,433393,407408,34,2014
33세,439598,408438,33,2014
32세,437893,407985,32,2014
31세,409286,379837,31,2014
30세,376565,345051,30,2014
29세,349619,316572,29,2014
28세,350547,315760,28,2014
27세,338966,307604,27,2014
26세,334196,301430,26,2014
25세,341169,303267,25,2014
24세,349757,307941,24,2014
23세,351585,312249,23,2014
22세,380739,333830,22,2014
21세,385987,332440,21,2014
20세,376028,326849,20,2014
19세,368466,322766,19,2014
18세,362409,324072,18,2014
17세,345036,316085,17,2014
16세,333760,308334,16,2014
15세,318795,290006,15,2014
14세,321827,294201,14,2014
13세,309150,283334,13,2014
12세,266312,244106,12,2014
11세,247230,227676,11,2014
10세,245307,227032,10,2014
9세,227855,211995,9,2014
8세,223624,207940,8,2014
7세,233190,218600,7,2014
6세,247690,233029,6,2014
5세,231223,217356,5,2014
4세,228345,214492,4,2014
3세,246834,233220,3,2014
2세,242720,228991,2,2014
1세,237706,225840,1,2014
0세,223999,212869,0,2014
100세 이상,444,2698,100,2015
99세,261,1425,99,2015
98세,505,2378,98,2015
97세,745,3439,97,2015
96세,1319,4757,96,2015
95세,1960,7134,95,2015
94세,2626,9835,94,2015
93세,4255,14741,93,2015
92세,6506,22806,92,2015
91세,6596,19422,91,2015
90세,8277,25894,90,2015
89세,10403,33718,89,2015
88세,14433,43155,88,2015
87세,18677,53333,87,2015
86세,24767,64368,86,2015
85세,27722,72975,85,2015
84세,32651,78664,84,2015
83세,43353,93569,83,2015
82세,51819,104020,82,2015
81세,62658,116525,81,2015
80세,76515,134142,80,2015
79세,87685,143771,79,2015
78세,98708,151405,78,2015
77세,107010,157418,77,2015
76세,122920,173927,76,2015
75세,130026,177633,75,2015
74세,139270,182921,74,2015
73세,170815,213796,73,2015
72세,175416,213243,72,2015
71세,149766,185256,71,2015
70세,160908,188153,70,2015
69세,142366,157645,69,2015
68세,206357,229226,68,2015
67세,215194,232563,67,2015
66세,216383,232668,66,2015
65세,229332,243897,65,2015
64세,206814,219087,64,2015
63세,259825,271454,63,2015
62세,262221,274245,62,2015
61세,273502,283897,61,2015
60세,343569,356217,60,2015
59세,337792,344648,59,2015
58세,358949,362255,58,2015
57세,388100,384551,57,2015
56세,404658,406894,56,2015
55세,442909,453461,55,2015
54세,471414,476195,54,2015
53세,417029,409071,53,2015
52세,457093,437415,52,2015
51세,391968,380220,51,2015
50세,427915,420719,50,2015
49세,426530,411481,49,2015
48세,418361,408463,48,2015
47세,425573,425473,47,2015
46세,474509,468169,46,2015
45세,454614,440863,45,2015
44세,475163,455855,44,2015
43세,459989,435248,43,2015
42세,454904,437408,42,2015
41세,445879,427867,41,2015
40세,413026,393042,40,2015
39세,394211,374727,39,2015
38세,388639,361906,38,2015
37세,390427,369123,37,2015
36세,396511,373848,36,2015
35세,434768,407940,35,2015
34세,440260,407857,34,2015
33세,438708,408216,33,2015
32세,409977,379933,32,2015
31세,376473,344724,31,2015
30세,349674,315780,30,2015
29세,352198,315983,29,2015
28세,340798,308231,28,2015
27세,336759,301677,27,2015
26세,346064,304409,26,2015
25세,354584,308751,25,2015
24세,353578,314064,24,2015
23세,383119,338051,23,2015
22세,388704,334246,22,2015
21세,380296,325962,21,2015
20세,372187,321761,20,2015
19세,364625,326274,19,2015
18세,345833,318010,18,2015
17세,334432,309186,17,2015
16세,318192,289887,16,2015
15세,321636,294193,15,2015
14세,308968,283341,14,2015
13세,266218,244130,13,2015
12세,247305,227746,12,2015
11세,245063,226822,11,2015
10세,227392,211701,10,2015
9세,223304,207576,9,2015
8세,232622,218113,8,2015
7세,247162,232617,7,2015
6세,230752,216953,6,2015
5세,227892,214109,5,2015
4세,246535,233068,4,2015
3세,242395,228719,3,2015
2세,237209,225620,2,2015
1세,222958,211908,1,2015
0세,226512,215173,0,2015
100세 이상,476,3003,100,2016
99세,340,1764,99,2016
98세,536,2617,98,2016
97세,966,3618,97,2016
96세,1504,5603,96,2016
95세,2006,7932,95,2016
94세,3360,12087,94,2016
93세,5213,19098,93,2016
92세,5319,16512,92,2016
91세,6750,22317,91,2016
90세,8677,29576,90,2016
89세,12256,38491,89,2016
88세,16134,48268,88,2016
87세,21828,59037,87,2016
86세,24622,67591,86,2016
85세,29430,73638,85,2016
84세,39464,88454,84,2016
83세,47623,98954,83,2016
82세,58107,111680,82,2016
81세,71589,129452,81,2016
80세,82512,139387,80,2016
79세,93546,147388,79,2016
78세,101966,153836,78,2016
77세,117949,170481,77,2016
76세,125211,174618,76,2016
75세,134842,180329,75,2016
74세,165929,211076,74,2016
73세,170807,210997,73,2016
72세,146513,183544,72,2016
71세,157618,186466,71,2016
70세,139778,156394,70,2016
69세,203041,227604,69,2016
68세,211991,231007,68,2016
67세,213495,231325,67,2016
66세,226471,242677,66,2016
65세,204402,217991,65,2016
64세,257072,270587,64,2016
63세,259816,273515,63,2016
62세,271388,283390,62,2016
61세,341494,355877,61,2016
60세,336354,344849,60,2016
59세,356581,361618,59,2016
58세,385710,383978,58,2016
57세,402262,406357,57,2016
56세,440597,452896,56,2016
55세,469089,475827,55,2016
54세,415334,408886,54,2016
53세,455266,437191,53,2016
52세,390382,380019,52,2016
51세,426266,420518,51,2016
50세,425011,411424,50,2016
49세,416854,408474,49,2016
48세,424189,425753,48,2016
47세,473407,468437,47,2016
46세,453326,441257,46,2016
45세,473821,456252,45,2016
44세,458567,435601,44,2016
43세,453476,437626,43,2016
42세,444363,428064,42,2016
41세,411434,393239,41,2016
40세,392937,374722,40,2016
39세,387306,361939,39,2016
38세,389420,369045,38,2016
37세,395380,373747,37,2016
36세,433450,407779,36,2016
35세,438910,407709,35,2016
34세,437578,408349,34,2016
33세,408943,380135,33,2016
32세,375728,344841,32,2016
31세,348951,316040,31,2016
30세,351560,316130,30,2016
29세,340421,308183,29,2016
28세,336666,301714,28,2016
27세,347403,305220,27,2016
26세,357623,309995,26,2016
25세,357115,315471,25,2016
24세,385339,340531,24,2016
23세,390322,338504,23,2016
22세,382613,328590,22,2016
21세,376265,322372,21,2016
20세,368679,326634,20,2016
19세,348496,320654,19,2016
18세,335739,311297,18,2016
17세,318546,290278,17,2016
16세,321306,294052,16,2016
15세,308660,283176,15,2016
14세,266193,244159,14,2016
13세,247399,227884,13,2016
12세,245113,227000,12,2016
11세,227324,211631,11,2016
10세,223112,207492,10,2016
9세,232453,218024,9,2016
8세,246942,232460,8,2016
7세,230402,216687,7,2016
6세,227539,213693,6,2016
5세,246239,232707,5,2016
4세,242166,228609,4,2016
3세,237100,225660,3,2016
2세,222948,212119,2,2016
1세,226688,215726,1,2016
0세,219645,209449,0,2016
100세 이상,542,3325,100,2017
99세,365,1914,99,2017
98세,686,2711,98,2017
97세,1104,4303,97,2017
96세,1522,6140,96,2017
95세,2612,9676,95,2017
94세,4053,15580,94,2017
93세,4186,13713,93,2017
92세,5408,18875,92,2017
91세,7047,25325,91,2017
90세,10212,33681,90,2017
89세,13660,43128,89,2017
88세,19006,53281,88,2017
87세,21600,61902,87,2017
86세,26107,68206,86,2017
85세,35585,82692,85,2017
84세,43301,93612,84,2017
83세,53480,106311,83,2017
82세,66385,124213,82,2017
81세,77206,134629,81,2017
80세,88151,142991,80,2017
79세,96878,149914,79,2017
78세,112759,166664,78,2017
77세,120127,171322,77,2017
76세,130120,177377,76,2017
75세,160915,208239,75,2017
74세,166257,208661,74,2017
73세,143135,181790,73,2017
72세,154286,184782,72,2017
71세,137075,155122,71,2017
70세,199581,226111,70,2017
69세,208780,229716,69,2017
68세,210368,230017,68,2017
67세,223363,241542,67,2017
66세,201946,217062,66,2017
65세,254249,269476,65,2017
64세,257459,272517,64,2017
63세,268902,282291,63,2017
62세,339078,354848,62,2017
61세,334052,343969,61,2017
60세,355491,361761,60,2017
59세,383315,382775,59,2017
58세,399877,405281,58,2017
57세,438316,451957,57,2017
56세,467060,475327,56,2017
55세,413655,408336,55,2017
54세,453666,436827,54,2017
53세,388921,379448,53,2017
52세,425144,420179,52,2017
51세,423933,411261,51,2017
50세,415964,408497,50,2017
49세,423468,425903,49,2017
48세,472495,468703,48,2017
47세,452583,441422,47,2017
46세,472671,456480,46,2017
45세,457488,435729,45,2017
44세,452245,437834,44,2017
43세,443327,428055,43,2017
42세,410152,393131,42,2017
41세,391593,374503,41,2017
40세,385939,361625,40,2017
39세,388340,368695,39,2017
38세,394341,373392,38,2017
37세,432505,407261,37,2017
36세,437851,407171,36,2017
35세,436892,407852,35,2017
34세,408283,380175,34,2017
33세,375550,344837,33,2017
32세,348804,316257,32,2017
31세,351620,316414,31,2017
30세,340908,308694,30,2017
29세,337028,302245,29,2017
28세,348152,305591,28,2017
27세,358805,310745,27,2017
26세,359246,316023,26,2017
25세,388534,341792,25,2017
24세,392496,340983,24,2017
23세,384301,332805,23,2017
22세,379094,325020,22,2017
21세,373324,327404,21,2017
20세,352851,321379,20,2017
19세,339285,314886,19,2017
18세,320421,292787,18,2017
17세,321383,294224,17,2017
16세,307899,282545,16,2017
15세,265483,243542,15,2017
14세,246950,227663,14,2017
13세,244826,226772,13,2017
12세,227078,211397,12,2017
11세,222818,207111,11,2017
10세,231903,217559,10,2017
9세,246212,231857,9,2017
8세,229667,216065,8,2017
7세,226632,212950,7,2017
6세,244819,231619,6,2017
5세,241277,227889,5,2017
4세,236282,224970,4,2017
3세,222509,211570,3,2017
2세,226338,215607,2,2017
1세,219404,209315,1,2017
0세,197831,187393,0,2017
100세 이상,557,3415,100,2018
99세,459,1925,99,2018
98세,762,3151,98,2018
97세,1083,4628,97,2018
96세,1911,7495,96,2018
95세,3045,12382,95,2018
94세,3223,11161,94,2018
93세,4262,15705,93,2018
92세,5676,21506,92,2018
91세,8392,29140,91,2018
90세,11437,37955,90,2018
89세,16191,47621,89,2018
88세,18697,56106,88,2018
87세,22933,62603,87,2018
86세,31692,76779,86,2018
85세,39047,87805,85,2018
84세,48752,100608,84,2018
83세,61144,118508,83,2018
82세,71794,129375,82,2018
81세,82681,138241,81,2018
80세,91591,145676,80,2018
79세,107337,162644,79,2018
78세,115018,167772,78,2018
77세,125241,174263,77,2018
76세,155589,205103,76,2018
75세,161433,205970,75,2018
74세,139522,179830,74,2018
73세,150906,183108,73,2018
72세,134445,153959,72,2018
71세,196089,224611,71,2018
70세,205463,228354,70,2018
69세,207315,228769,69,2018
68세,220351,240362,68,2018
67세,199374,216142,67,2018
66세,251321,268461,66,2018
65세,254840,271454,65,2018
64세,266366,281228,64,2018
63세,336125,353773,63,2018
62세,331563,343181,62,2018
61세,353604,361286,61,2018
60세,381366,382336,60,2018
59세,397705,404663,59,2018
58세,436235,451325,58,2018
57세,465089,474818,57,2018
56세,412362,408276,56,2018
55세,452562,436884,55,2018
54세,388420,379609,54,2018
53세,424698,420405,53,2018
52세,423773,411587,52,2018
51세,415987,408943,51,2018
50세,423737,426383,50,2018
49세,472971,469407,49,2018
48세,453261,442463,48,2018
47세,473565,457537,47,2018
46세,458552,436836,46,2018
45세,453215,438950,45,2018
44세,444252,429208,44,2018
43세,411031,394340,43,2018
42세,392336,375693,42,2018
41세,386767,362914,41,2018
40세,389260,369966,40,2018
39세,395444,374739,39,2018
38세,433773,408786,38,2018
37세,439134,408661,37,2018
36세,438362,409545,36,2018
35세,410020,382118,35,2018
34세,377411,346753,34,2018
33세,351033,318313,33,2018
32세,354355,318771,32,2018
31세,343796,311280,31,2018
30세,339992,304797,30,2018
29세,351242,308056,29,2018
28세,362383,313392,28,2018
27세,363245,318925,27,2018
26세,393429,344735,26,2018
25세,398009,343964,25,2018
24세,389158,336771,24,2018
23세,383547,330468,23,2018
22세,378747,331692,22,2018
21세,359638,323427,21,2018
20세,345568,317548,20,2018
19세,325102,297082,19,2018
18세,323816,297274,18,2018
17세,308341,283132,17,2018
16세,265193,243302,16,2018
15세,246601,227402,15,2018
14세,244694,226702,14,2018
13세,227083,211503,13,2018
12세,222921,207309,12,2018
11세,231935,217608,11,2018
10세,246187,231799,10,2018
9세,229616,215963,9,2018
8세,226491,212765,8,2018
7세,244553,231341,7,2018
6세,240880,227525,6,2018
5세,235882,224619,5,2018
4세,222188,211286,4,2018
3세,226104,215416,3,2018
2세,219034,209130,2,2018
1세,196788,186511,1,2018
0세,177432,168123,0,2018
100세 이상,627,3484,100,2019
99세,508,2238,99,2019
98세,745,3390,98,2019
97세,1355,5651,97,2019
96세,2222,9596,96,2019
95세,2416,8874,95,2019
94세,3276,12789,94,2019
93세,4467,17906,93,2019
92세,6752,24762,92,2019
91세,9392,32861,91,2019
90세,13551,41939,90,2019
89세,15925,50182,89,2019
88세,19852,56782,88,2019
87세,27845,70521,87,2019
86세,34789,81594,86,2019
85세,43981,94440,85,2019
84세,55760,112222,84,2019
83세,66135,123510,83,2019
82세,76908,132906,82,2019
81세,85967,140901,81,2019
80세,101552,158104,80,2019
79세,109559,163754,79,2019
78세,119986,170688,78,2019
77세,149823,201515,77,2019
76세,156191,202931,76,2019
75세,135603,177626,75,2019
74세,147230,181227,74,2019
73세,131588,152650,73,2019
72세,192361,222934,72,2019
71세,201921,226859,71,2019
70세,204065,227440,70,2019
69세,217198,239095,69,2019
68세,196762,215132,68,2019
67세,248288,267349,67,2019
66세,252032,270447,66,2019
65세,263722,280266,65,2019
64세,333139,352718,64,2019
63세,328971,342317,63,2019
62세,351162,360523,62,2019
61세,379354,381903,61,2019
60세,395761,404198,60,2019
59세,433850,450560,59,2019
58세,462772,474083,58,2019
57세,410619,407777,57,2019
56세,450939,436584,56,2019
55세,387372,379564,55,2019
54세,423639,420303,54,2019
53세,422893,411587,53,2019
52세,415336,409054,52,2019
51세,423259,426606,51,2019
50세,472458,469653,50,2019
49세,452874,442827,49,2019
48세,473294,458020,48,2019
47세,458433,437346,47,2019
46세,453109,439456,46,2019
45세,444121,429746,45,2019
44세,410909,394862,44,2019
43세,392212,376123,43,2019
42세,386578,363256,42,2019
41세,389049,370252,41,2019
40세,395220,374930,40,2019
39세,433606,408893,39,2019
38세,439154,408722,38,2019
37세,438433,409596,37,2019
36세,410104,382284,36,2019
35세,377644,347005,35,2019
34세,351380,318601,34,2019
33세,354820,319186,33,2019
32세,344445,311795,32,2019
31세,340742,305295,31,2019
30세,352122,308562,30,2019
29세,363508,313965,29,2019
28세,364822,319648,28,2019
27세,395887,345582,27,2019
26세,401804,344912,26,2019
25세,392720,338020,25,2019
24세,385178,333097,24,2019
23세,379318,335865,23,2019
22세,361181,325952,22,2019
21세,349000,317090,21,2019
20세,328562,296813,20,2019
19세,325973,298826,19,2019
18세,309555,284723,18,2019
17세,265571,243775,17,2019
16세,246332,227191,16,2019
15세,244310,226412,15,2019
14세,226881,211374,14,2019
13세,222915,207308,13,2019
12세,232051,217717,12,2019
11세,246088,231735,11,2019
10세,229357,215770,10,2019
9세,226279,212597,9,2019
8세,244337,231152,8,2019
7세,240606,227297,7,2019
6세,235545,224293,6,2019
5세,221829,210955,5,2019
4세,225798,215158,4,2019
3세,218762,208908,3,2019
2세,196383,186242,2,2019
1세,176574,167355,1,2019
0세,166042,157319,0,2019
100세 이상,702,3751,100,2020
99세,497,2411,99,2020
98세,934,4145,98,2020
97세,1579,7245,97,2020
96세,1766,6886,96,2020
95세,2460,10182,95,2020
94세,3440,14601,94,2020
93세,5324,20643,93,2020
92세,7570,27959,92,2020
91세,11147,36354,91,2020
90세,13351,44246,90,2020
89세,16937,50844,89,2020
88세,24143,64032,88,2020
87세,30614,75020,87,2020
86세,39242,87839,86,2020
85세,50372,105428,85,2020
84세,60394,117053,84,2020
83세,70939,126973,83,2020
82세,80064,135553,82,2020
81세,95424,153010,81,2020
80세,103766,159269,80,2020
79세,114404,166677,79,2020
78세,143665,197454,78,2020
77세,150534,199459,77,2020
76세,131307,175071,76,2020
75세,143189,179053,75,2020
74세,128469,151133,74,2020
73세,188360,221044,73,2020
72세,198196,225219,72,2020
71세,200653,225995,71,2020
70세,213902,237749,70,2020
69세,194055,214050,69,2020
68세,245158,266144,68,2020
67세,249135,269392,67,2020
66세,260959,279288,66,2020
65세,330010,351599,65,2020
64세,326227,341389,64,2020
63세,348550,359679,63,2020
62세,376863,381161,62,2020
61세,393736,403754,61,2020
60세,431783,450055,60,2020
59세,460406,473393,59,2020
58세,408735,407274,58,2020
57세,449092,436115,57,2020
56세,386140,379418,56,2020
55세,422474,420233,55,2020
54세,421913,411563,54,2020
53세,414529,409102,53,2020
52세,422610,426735,52,2020
51세,471863,469867,51,2020
50세,452451,443134,50,2020
49세,472863,458379,49,2020
48세,458201,437850,48,2020
47세,452987,439952,47,2020
46세,444021,430250,46,2020
45세,410826,395396,45,2020
44세,392113,376622,44,2020
43세,386471,363669,43,2020
42세,388887,370572,42,2020
41세,395036,375204,41,2020
40세,433377,409052,40,2020
39세,439008,408820,39,2020
38세,438454,409655,38,2020
37세,410195,382360,37,2020
36세,377741,347208,36,2020
35세,351602,318889,35,2020
34세,355132,319501,34,2020
33세,344876,312239,33,2020
32세,341332,305846,32,2020
31세,352793,309098,31,2020
30세,364292,314509,30,2020
